Country,Proportion of Undernourished in the Population (%),Prevalence of Underweight in Children Under 5 Years,Under 5 Mortality Rate,2014 GHI,Maize import quantity (tonnes),Rice import quantity (tonnes),Potato import quantity (tonnes),Wheat import quantity (tonnes),,1990,1995,2000,2005,2013
Congo,33,35.8,24.2,18.1,103,41541,1714,104567,Congo,23.7,23.9,19.3,18.4,20.5
Costa Rica,8.2,1.1,1,<5,670634,84900,3737,225450,Costa Rica,<5,<5,<5,<5,<5
Croatia,1.4,0.3,0.5,<5,23245,10627,29384,26017,Croatia,,5.4,<5,<5,<5
Cuba,0.6,2.1,0.6,<5,769144,459672,6291,778471,Cuba,5.5,7.4,<5,<5,<5
Djibouti,20.5,29.8,8.1,19.5,15109,92944,14514,679624,Djibouti,33.5,28.5,27.7,24.0,19.5
Dominican Republic,15.6,2.8,2.7,7,970000,65068,10500,500000,Dominican Republic,14.9,11.7,9.7,8.8,7.0
Ecuador,16.3,5,2.3,7.9,138276,602,0,559240,Ecuador,14.0,11.6,12.3,10.1,8.5
"Egypt, Arab Rep.",1.3,4.5,2.1,<5,5771770,20360,184477,10288434,"Egypt, Arab Rep.",7.0,6.2,5.2,<5,<5
El Salvador,11.9,5.1,1.6,6.2,321190,67224,68894,243829,El Salvador,10.9,8.7,7.4,6.4,6.8
Eritrea,61.3,34.8,5.2,33.8,792,434,,54041,Eritrea,,40.6,40.2,39.3,35.0
Estonia,3.3,0.7,0.4,<5,30152,3870,2804,28379,Estonia,,<5,<5,<5,<5
Ethiopia,37.1,29.2,6.8,24.4,18424,154841,46,1618382,Ethiopia,42.3,42.7,37.1,31.0,25.7
Fiji,2.7,6.3,2.2,<5,52,38923,22917,161029,Fiji,5.8,5.1,<5,<5,<5
Gabon,5.6,6.5,6.2,6.1,447,83846,532,102705,Gabon,9.7,8.0,7.8,6.9,7.2
"Gambia, The",16,17.4,7.3,13.6,0,69699,1493,12600,"Gambia, The",19.1,20.4,16.1,15.6,14.0
Georgia,,1.1,2,,56249,12058,10165,654420,Georgia,,16.6,9.2,11.3,9.3
Ghana,2.9,13.4,7.2,7.8,3172,644328,2062,261255,Ghana,25.5,19.6,15.6,10.7,8.2
Guatemala,30.5,13,3.2,15.6,689013,71561,3960,462759,Guatemala,15.0,16.1,17.0,17.0,15.5
Guinea,15.2,17.5,10.1,14.3,822,363755,426,4863,Guinea,21.4,21.2,22.4,18.2,16.9
Guinea-Bissau,10.1,18.1,12.9,13.7,776,76193,519,,Guinea-Bissau,21.7,20.8,20.6,17.7,14.3
Guyana,5,11.1,3.5,6.5,23501,37,8416,38443,Guyana,14.3,10.2,8.2,8.0,6.6
Haiti,49.8,11.6,7.6,23,17676,424517,2489,85000,Haiti,33.8,31.7,25.7,27.0,23.3
Honduras,8.7,7.1,2.3,6,336064,86557,2187,236407,Honduras,14.2,13.6,10.8,8.5,7.9
India,17,30.7,5.6,17.8,11628,1323,0,11644,India,32.6,27.1,24.8,24.0,21.3
Indonesia,9.1,18.6,3.1,10.3,3191045,472239,56941,6737512,Indonesia,19.7,16.9,15.5,14.6,10.1
"Iran, Islamic Rep.",4.5,4.1,1.8,<5,4005482,2180127,468,4388441,"Iran, Islamic Rep.",8.5,7.4,6.1,<5,<5
Iraq,26.2,8.5,3.4,12.7,11519,1317732,176605,2241683,Iraq,,,,,
Jamaica,8.6,3.2,1.7,<5,175936,81270,3468,189514,Jamaica,5.9,5.0,<5,<5,<5
Jordan,3.1,3,1.9,<5,557942,148990,74550,680677,Jordan,5.1,5.2,<5,<5,<5
Kazakhstan,0.4,3.7,1.9,<5,807,16819,112323,1160,Kazakhstan,,<5,5.3,<5,<5
Kenya,25.8,16.4,7.3,16.5,93473,412411,762,1043600,Kenya,21.4,21.0,20.5,20.2,18.0
Kuwait,1.5,2.2,1.1,<5,181616,173821,121374,392574,Kuwait,12.4,5.1,<5,<5,<5
Kyrgyz Republic,5.9,3.7,2.7,<5,1197,22905,446,361700,Kyrgyz Republic,,9.3,8.8,5.3,<5
Lao PDR,26.7,26.5,7.2,20.1,1489,10930,7,0,Lao PDR,33.4,30.3,28.0,23.7,18.7
Latvia,4.3,0.7,0.9,<5,30589,6262,5014,204590,Latvia,,<5,<5,<5,<5
Lebanon,2.9,3.2,0.9,<5,393633,63496,72440,603301,Lebanon,<5,<5,<5,<5,<5
Lesotho,15.7,13.5,10,13.1,84613,2899,5242,84692,Lesotho,13.2,14.6,14.6,14.9,12.9
Liberia,28.6,14.3,7.5,16.8,15500,270623,1213,15530,Liberia,23.4,28.2,24.7,20.6,17.9
Libya,1.4,4.9,1.5,<5,660490,172723,14724,1863526,Libya,<5,<5,<5,<5,<5
Lithuania,1.2,0.6,0.5,<5,149261,13498,11879,49110,Lithuania,,<5,<5,<5,<5
Madagascar,27.2,32.8,5.8,21.9,19069,388701,0,33570,Madagascar,25.5,24.6,25.9,24.4,25.2
Malawi,20,13.8,7.1,13.6,60514,977,279,192000,Malawi,30.6,27.6,21.6,18.7,15.1
Malaysia,3.6,11.8,0.9,5.4,3389079,889820,193004,767557,Malaysia,9.5,7.1,6.9,5.8,5.5
Mali,7.3,18.9,12.8,13,2061,108558,10689,227447,Mali,27.4,26.9,24.3,20.7,14.8
Mauritania,7.8,19.5,8.4,11.9,2069,182600,27570,379218,Mauritania,22.7,16.2,17.2,14.6,13.2
Mauritius,5.4,8.2,1.5,5,99741,58735,6676,163423,Mauritius,8.5,7.6,6.5,5.9,5.2
Mexico,0.7,2.8,1.6,<5,7153033,673877,96201,4166753,Mexico,7.4,5.8,<5,<5,<5
Mongolia,21.2,4.7,2.8,9.6,53,23994,6113,120,Mongolia,19.7,23.6,18.5,14.1,10.8
Montenegro,2.3,0.7,0.6,<5,10973,1422,10593,31414,Montenegro,,,,,<5
Morocco,5,3.1,3.1,<5,1776625,14030,47148,2728484,Morocco,7.8,6.9,6.2,6.5,<5
Mozambique,36.8,15.6,9,20.5,119383,526975,32954,766934,Mozambique,36.0,32.0,28.5,25.1,21.5
Myanmar,,22.6,5.2,,1547,20000,300,185000,Myanmar,,,,,
Namibia,29.3,17.5,3.9,16.9,166936,14959,22917,80138,Namibia,22.1,21.9,17.5,17.1,18.4
Nepal,16,29.1,4.2,16.4,171096,325465,174006,67803,Nepal,28.0,27.3,25.3,22.3,17.3
Nicaragua,21.7,4.8,2.4,9.6,108870,82979,3286,184967,Nicaragua,24.1,19.9,15.4,11.5,9.5
Niger,13.9,37.9,11.4,21.1,60768,383170,3234,135,Niger,36.4,34.6,30.3,25.6,20.3
Nigeria,7.3,24.4,12.4,14.7,1200,2187370,254,4358863,Nigeria,25.3,22.6,17.9,16.3,15.0
Oman,,8.6,1.2,,153069,233745,54491,408820,Oman,,,,,
Pakistan,17.2,31.6,8.6,19.1,24369,61169,11447,386932,Pakistan,25.9,22.8,21.6,21.2,19.3
Panama,8.7,3.3,1.9,<5,346790,71420,2150,106963,Panama,11.6,10.8,11.4,9.0,5.4
Papua New Guinea,,27.2,6.3,,655,44675,439,166723,Papua New Guinea,,,,,
Paraguay,22.3,2,2.2,8.8,14469,1120,12966,68921,Paraguay,9.3,7.5,6.5,6.3,10.1
Peru,11.8,3.4,1.8,5.7,2020981,175756,0,1804847,Peru,16.3,12.3,10.5,9.9,5.5
Philippines,16.2,20.2,3,13.1,341605,399137,4362,2472612,Philippines,19.9,17.4,17.7,14.0,13.2
Qatar,,0.3,0.7,,15108,127892,40283,51342,Qatar,,,,,
Romania,0.4,2.6,1.2,<5,284166,46532,137127,679828,Romania,<5,<5,<5,<5,<5
Russian Federation,1.8,0.6,1,<5,55271,247166,448203,913326,Russian Federation,,<5,<5,<5,<5
Rwanda,29.7,11.7,5.5,15.6,62940,63349,956,0,Rwanda,30.8,37.3,29.0,23.6,15.3
Saudi Arabia,1.6,4.9,0.9,<5,2106596,1265557,33432,2119496,Saudi Arabia,6.5,6.4,<5,<5,<5
Senegal,21.6,15.7,6,14.4,129176,1123550,57112,515579,Senegal,18.1,19.8,19.2,13.7,13.8
Serbia,4.1,1.6,0.7,<5,8515,12233,28088,1212,Serbia,,,,,<5
Sierra Leone,29.4,19.9,18.2,22.5,359,259440,1320,0,Sierra Leone,31.3,29.5,30.0,28.4,22.8
Slovak Republic,4.6,2.4,0.8,<5,62633,27154,41782,22053,Slovak Republic,,<5,<5,<5,<5
Somalia,,,14.7,,3016,175972,104100,150,Somalia,,,,,
South Africa,2.1,7.9,4.5,<5,40311,1266063,477,1401984,South Africa,7.2,6.5,7.4,7.7,5.4
Sri Lanka,22.8,21.6,1,15.1,16681,24055,124668,934596,Sri Lanka,22.3,20.7,17.8,16.9,15.6
Suriname,10.2,5.8,2.1,6,5714,761,7312,10728,Suriname,11.3,9.9,11.1,8.9,6.7
Swaziland,35.8,5.8,8,16.5,90251,31739,8242,31788,Swaziland,10.4,12.9,12.7,12.5,14.4
Syrian Arab Republic,6,10.1,1.5,5.9,506213,259687,158647,1540247,Syrian Arab Republic,7.7,6.1,<5,5.1,<5
Tajikistan,30.2,13.3,5.8,16.4,5,22665,42600,651970,Tajikistan,,21.2,22.6,19.0,16.3
Thailand,5.8,8,1.3,5,192257,21306,58834,1758920,Thailand,21.3,17.1,10.2,6.6,5.8
Timor-Leste,38.3,45.3,5.7,29.8,707,97523,1133,,Timor-Leste,,,,26.0,29.6
Togo,15.5,16.5,9.6,13.9,615,140460,2917,85899,Togo,23.0,19.1,20.4,18.2,14.7
Trinidad & Tobago,7.6,2.4,2.1,<5,92241,27120,22307,134908,Trinidad & Tobago,8.4,8.6,6.9,7.0,<5
Tunisia,0.9,2,1.6,<5,867519,12032,33362,1485639,Tunisia,<5,<5,<5,<5,<5
Turkey,0.6,2.6,1.4,<5,1548133,226056,9431,4053001,Turkey,<5,5.0,<5,<5,<5
Turkmenistan,2.5,5.8,5.3,<5,0,200,8600,615000,Turkmenistan,,10.3,8.6,6.6,<5
Uganda,30.1,14.1,6.9,17,5033,115615,9843,434920,Uganda,21.4,22.9,19.9,18.6,19.2
Ukraine,0.8,1.1,1.1,<5,49559,67695,5175,1778,Ukraine,,<5,<5,<5,<5
Uruguay,6.2,4,0.7,<5,135163,987,6445,39171,Uruguay,5.5,<5,<5,<5,<5
Uzbekistan,5.7,4.2,4,<5,0,238,18446,738344,Uzbekistan,,8.3,9.3,6.6,5.3
"Venezuela, RB",2.1,2.9,1.5,<5,2394197,464050,1483,1470536,"Venezuela, RB",7.8,7.7,7.2,5.2,<5
Vietnam,8.3,12,2.3,7.5,2626473,6251,87188,1915393,Vietnam,30.9,25.1,18.1,13.7,7.7
"Yemen, Rep.",28.8,35.5,6,23.4,460455,436458,2256,3099401,"Yemen, Rep.",29.8,27.7,26.9,27.9,26.5
Zambia,43.1,17.7,8.9,23.2,4029,18139,4766,14,Zambia,24.9,24.5,26.3,25.3,24.1
Zimbabwe,30.5,10.1,9,16.5,304532,158890,3303,198211,Zimbabwe,20.0,22.0,21.7,20.5,16.5
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Note: * IFPRI estimates,,,,,
