,Country,Proportion of Undernourished in the Population (%),Prevalence of Underweight in Children Under 5 Years,Under 5 Mortality Rate,2014 GHI,Maize import quantity (tonnes),Rice import quantity (tonnes),Potato import quantity (tonnes),Wheat import quantity (tonnes),1990 GHI,1995 GHI,2000 GHI,2005 GHI,2013 GHI,2015 GHI,2016 GHI
1,Albania,7.8,6.3,1.7,5.3,64685,21721,18113,254225,9.2,6,7.8,6.1,5.2,13.2,11.9
2,Algeria,2.4,3.6,2,0,3218998,120853,136802,6304734,7,7.7,5.3,0,0,8.7,8.7
3,Angola,24.4,11.3,16.4,17.4,37502,430625,37652,11,39.5,38.5,31.6,22.7,19.1,32.6,32.8
4,Argentina,3.4,2.3,1.4,0,2857,5656,738,151,0,0,0,0,0,0,0
8,Bangladesh,16.3,36.8,4.1,19.1,446397,260256,1340,3376956,36.7,35.1,24,20.2,19.4,27.3,27.1
10,Benin,6.1,18.4,9,11.2,1059,1374002,255,23612,22.5,20.5,17.3,15.2,13.3,21.8,23.2
12,Bolivia,21.3,4.4,4.1,9.9,2931,36244,21796,145274,18.8,16.9,14.2,13.8,11.2,16.9,15.4
14,Botswana,25.7,9.2,5.3,13.4,190061,24737,16004,105346,16.8,17,17.8,16.3,13.9,23.1,23
15,Brazil,6.9,2.1,1.4,0,911387,737363,29180,7273279,8.7,7.6,6.4,0,0,0,0
16,Bulgaria,7.2,1.8,1.2,0,41408,27057,41680,26693,0,0,0,0,0,8.5,8.3
17,Burkina Faso,25,24.4,10.2,19.9,1945,439080,3487,78617,26.9,22.7,26.1,26.6,22.2,31.8,31
19,Cambodia,15.4,29,4,16.1,1026,41084,2,22657,32.2,30.7,27.8,20.9,16.8,22.6,21.7
20,Cameroon,13.3,15.1,9.5,12.6,13309,753263,76,494788,23.7,23.8,20.3,16.3,14.5,24.2,22.9
21,Central African Republic,28.2,23.5,12.9,21.5,269,7981,0,0,30.7,29.4,28,28.5,23.3,46.9,46.1
22,Chad,29.4,30.3,15,24.9,17791,1016,140,30000,38.8,34.9,29.8,29.7,26.9,46.4,44.3
23,Chile,3,0.5,0.9,0,1097937,112637,8569,940368,0,0,0,0,0,0,0
24,China,11.4,3.4,1.4,5.4,7340767,2718094,35169,6830683,13,10.4,8.4,6.7,5.5,8.6,7.7
25,Colombia,10.6,3.4,1.8,5.3,3635280,151646,24,1413789,10.4,8,6.8,6.9,5.9,8.8,8.5
27,Congo,33,35.8,24.2,18.1,103,41541,1714,104567,23.7,23.9,19.3,18.4,20.5,26.6,26.6
